YearStart,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1,latitude,longitude,total_individuals
2017,IA,Iowa,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,39.6,35.7,43.8,868.0,,,,"$15,000 - $24,999",,"(42.469400913, -93.816490556)",FV,FV1,Q018,19,Income,"$15,000 - $24,999",INC,INC1525,42.469400913,-93.816490556,343.728
2017,NH,New Hampshire,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,10.9,9.2,12.8,2916.0,,,Female,,,"(43.655950113, -71.50036092)",FV,FV1,Q019,33,Gender,Female,GEN,FEMALE,43.655950113,-71.50036092,317.844
2017,MN,Minnesota,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,24.0,14.9,36.4,188.0,,,,,American Indian/Alaska Native,"(46.355648736, -94.794200503)",FV,FV1,Q019,27,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,46.355648736,-94.794200503,45.12
2017,GU,Guam,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,45.8,41.0,50.7,666.0,,,Male,,,"(13.444304, 144.793731)",FV,FV1,Q018,66,Gender,Male,GEN,MALE,13.444304,144.793731,305.02799999999996
2017,GA,Georgia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,14.3,11.0,18.4,552.0,,,,"$35,000 - $49,999",,"(32.839681093, -83.627580346)",FV,FV1,Q019,13,Income,"$35,000 - $49,999",INC,INC3550,32.839681093,-83.627580346,78.936
2017,WA,Washington,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,35.9,34.3,37.5,5540.0,,,Male,,,"(47.522278629, -120.47001079)",FV,FV1,Q018,53,Gender,Male,GEN,MALE,47.522278629,-120.47001079,1988.86
2017,NM,New Mexico,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,Other,"(34.520880952, -106.240580985)",FV,FV1,Q018,35,Race/Ethnicity,Other,RACE,RACEOTH,34.520880952,-106.240580985,
2017,MN,Minnesota,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,16.6,14.7,18.7,1937.0,35 - 44,,,,,"(46.355648736, -94.794200503)",FV,FV1,Q019,27,Age (years),35 - 44,AGEYR,AGEYR3544,46.355648736,-94.794200503,321.54200000000003
2017,ME,Maine,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,36.5,34.1,38.9,3869.0,,,Male,,,"(45.254228894001, -68.985031336)",FV,FV1,Q018,23,Gender,Male,GEN,MALE,45.254228894001,-68.985031336,1412.185
2017,DC,District of Columbia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,9.0,7.3,11.1,1485.0,,,,"$75,000 or greater",,"(38.890371385, -77.031961127)",FV,FV1,Q019,11,Income,"$75,000 or greater",INC,INC75PLUS,38.890371385,-77.031961127,133.65
2017,OR,Oregon,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,10.0,8.6,11.6,2011.0,,College graduate,,,,"(44.567449424, -120.155031326)",FV,FV1,Q019,41,Education,College graduate,EDU,EDUCOGRAD,44.567449424,-120.155031326,201.10000000000002
2017,UT,Utah,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,23.4,19.7,27.6,747.0,,,,"$25,000 - $34,999",,"(39.360700171, -111.587130635)",FV,FV1,Q019,49,Income,"$25,000 - $34,999",INC,INC2535,39.360700171,-111.587130635,174.798
2017,NY,New York,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,40.5,36.3,44.7,1044.0,,,,"Less than $15,000",,"(42.827001032, -75.543970427)",FV,FV1,Q018,36,Income,"Less than $15,000",INC,INCLESS15,42.827001032,-75.543970427,422.82000000000005
2017,LA,Louisiana,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,41.0,34.5,47.8,359.0,,,,"$25,000 - $34,999",,"(31.312660644, -92.445680071)",FV,FV1,Q018,22,Income,"$25,000 - $34,999",INC,INC2535,31.312660644,-92.445680071,147.19
2017,RI,Rhode Island,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,48.5,31.5,65.7,75.0,,,,,Asian,"(41.708280193, -71.522470314)",FV,FV1,Q018,44,Race/Ethnicity,Asian,RACE,RACEASN,41.708280193,-71.522470314,36.375
2017,IL,Illinois,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,33.3,31.6,35.0,5196.0,,,,,,"(40.485010283, -88.997710178)",FV,FV1,Q018,17,Total,Total,OVR,OVERALL,40.485010283,-88.997710178,1730.2679999999998
2017,UT,Utah,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,19.1,17.7,20.6,4495.0,,,Male,,,"(39.360700171, -111.587130635)",FV,FV1,Q019,49,Gender,Male,GEN,MALE,39.360700171,-111.587130635,858.545
2017,NY,New York,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,42.4,38.2,46.6,918.0,,Less than high school,,,,"(42.827001032, -75.543970427)",FV,FV1,Q018,36,Education,Less than high school,EDU,EDUHS,42.827001032,-75.543970427,389.23199999999997
2017,WV,West Virginia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,,,,,,,,Hawaiian/Pacific Islander,"(38.665510202, -80.712640135)",FV,FV1,Q019,54,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI,38.665510202,-80.712640135,
2017,AZ,Arizona,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,Hawaiian/Pacific Islander,"(34.86597028, -111.763811277)",FV,FV1,Q018,4,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI,34.86597028,-111.763811277,
2017,MT,Montana,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,14.9,12.7,17.3,1797.0,,Some college or technical school,,,,"(47.066528972, -109.424420645)",FV,FV1,Q019,30,Education,Some college or technical school,EDU,EDUCOTEC,47.066528972,-109.424420645,267.753
2017,MN,Minnesota,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,20.6,18.3,23.1,1770.0,25 - 34,,,,,"(46.355648736, -94.794200503)",FV,FV1,Q019,27,Age (years),25 - 34,AGEYR,AGEYR2534,46.355648736,-94.794200503,364.62
2017,NH,New Hampshire,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,Hawaiian/Pacific Islander,"(43.655950113, -71.50036092)",FV,FV1,Q018,33,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI,43.655950113,-71.50036092,
2017,DC,District of Columbia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,13.3,10.9,16.1,1085.0,65 or older,,,,,"(38.890371385, -77.031961127)",FV,FV1,Q019,11,Age (years),65 or older,AGEYR,AGEYR65PLUS,38.890371385,-77.031961127,144.305
2017,NY,New York,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,15.6,12.8,18.9,1267.0,,,,"$50,000 - $74,999",,"(42.827001032, -75.543970427)",FV,FV1,Q019,36,Income,"$50,000 - $74,999",INC,INC5075,42.827001032,-75.543970427,197.652
2017,ND,North Dakota,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,31.9,27.9,36.2,944.0,,,,"$35,000 - $49,999",,"(47.475319779, -100.118421049)",FV,FV1,Q018,38,Income,"$35,000 - $49,999",INC,INC3550,47.475319779,-100.118421049,301.136
2017,VA,Virginia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,16.7,11.4,23.8,212.0,,,,,Asian,"(37.542680674, -78.457890463)",FV,FV1,Q019,51,Race/Ethnicity,Asian,RACE,RACEASN,37.542680674,-78.457890463,35.403999999999996
2017,NH,New Hampshire,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,28.5,25.4,31.9,1736.0,,,,"$75,000 or greater",,"(43.655950113, -71.50036092)",FV,FV1,Q018,33,Income,"$75,000 or greater",INC,INC75PLUS,43.655950113,-71.50036092,494.75999999999993
2017,IL,Illinois,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,36.7,32.1,41.5,575.0,,,,,Hispanic,"(40.485010283, -88.997710178)",FV,FV1,Q019,17,Race/Ethnicity,Hispanic,RACE,RACEHIS,40.485010283,-88.997710178,211.02500000000003
2017,AR,Arkansas,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,45.2,40.7,49.8,1016.0,55 - 64,,,,,"(34.748650124, -92.274490743)",FV,FV1,Q018,5,Age (years),55 - 64,AGEYR,AGEYR5564,34.748650124,-92.274490743,459.232
2017,MS,Mississippi,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,46.9,42.6,51.2,1290.0,,,,,Non-Hispanic Black,"(32.745510099, -89.538030825)",FV,FV1,Q018,28,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,32.745510099,-89.538030825,605.01
2017,CA,California,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,36.3,33.1,39.5,1477.0,,High school graduate,,,,"(37.638640123, -120.999999538)",FV,FV1,Q018,6,Education,High school graduate,EDU,EDUHSGRAD,37.638640123,-120.999999538,536.151
2017,IN,Indiana,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,17.1,15.7,18.5,4814.0,65 or older,,,,,"(39.766910452, -86.149960194)",FV,FV1,Q019,18,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.766910452,-86.149960194,823.1940000000001
2017,MI,Michigan,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,18.5,17.5,19.5,10039.0,,,,,,"(44.661319543001, -84.71439027)",FV,FV1,Q019,26,Total,Total,OVR,OVERALL,44.661319543001,-84.71439027,1857.215
2017,NC,North Carolina,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,15.1,11.8,19.3,577.0,25 - 34,,,,,"(35.466220975, -79.159250463)",FV,FV1,Q019,37,Age (years),25 - 34,AGEYR,AGEYR2534,35.466220975,-79.159250463,87.127
2017,OH,Ohio,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,16.6,15.1,18.1,6526.0,,,Female,,,"(40.060210141, -82.404260056)",FV,FV1,Q019,39,Gender,Female,GEN,FEMALE,40.060210141,-82.404260056,1083.316
2017,NJ,New Jersey,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,30.2,27.7,32.8,3930.0,65 or older,,,,,"(40.130570048, -74.273691288)",FV,FV1,Q018,34,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.130570048,-74.273691288,1186.86
2017,LA,Louisiana,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,,,,,,,,Other,"(31.312660644, -92.445680071)",FV,FV1,Q019,22,Race/Ethnicity,Other,RACE,RACEOTH,31.312660644,-92.445680071,
2017,VA,Virginia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,35.8,25.2,48.0,149.0,,,,,2 or more races,"(37.542680674, -78.457890463)",FV,FV1,Q018,51,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,37.542680674,-78.457890463,53.342
2017,PR,Puerto Rico,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,Hawaiian/Pacific Islander,"(18.220833, -66.590149)",FV,FV1,Q018,72,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI,18.220833,-66.590149,
2017,MD,Maryland,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,33.5,29.9,37.3,1171.0,35 - 44,,,,,"(39.290580964, -76.609260111)",FV,FV1,Q018,24,Age (years),35 - 44,AGEYR,AGEYR3544,39.290580964,-76.609260111,392.285
2017,MS,Mississippi,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,9.4,4.3,19.6,77.0,,,,,2 or more races,"(32.745510099, -89.538030825)",FV,FV1,Q019,28,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,32.745510099,-89.538030825,7.238
2017,NY,New York,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,33.2,29.2,37.3,1010.0,,,,"Less than $15,000",,"(42.827001032, -75.543970427)",FV,FV1,Q019,36,Income,"Less than $15,000",INC,INCLESS15,42.827001032,-75.543970427,335.32
2017,CO,Colorado,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,36.1,32.9,39.4,1015.0,25 - 34,,,,,"(38.843840757, -106.133610921)",FV,FV1,Q018,8,Age (years),25 - 34,AGEYR,AGEYR2534,38.843840757,-106.133610921,366.41499999999996
2017,HI,Hawaii,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,27.0,21.8,32.9,523.0,,,,Data not reported,,"(21.304850435, -157.857749403)",FV,FV1,Q019,15,Income,Data not reported,INC,INCNR,21.304850435,-157.857749403,141.21
2017,AL,Alabama,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,46.2,40.2,52.4,518.0,,,,"$25,000 - $34,999",,"(32.840571122, -86.631860762)",FV,FV1,Q018,1,Income,"$25,000 - $34,999",INC,INC2535,32.840571122,-86.631860762,239.316
2017,CA,California,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,34.9,27.3,43.4,225.0,,,,,2 or more races,"(37.638640123, -120.999999538)",FV,FV1,Q018,6,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,37.638640123,-120.999999538,78.52499999999999
2017,WY,Wyoming,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,25.0,18.6,32.7,255.0,,,,"Less than $15,000",,"(43.235541343, -108.109830353)",FV,FV1,Q019,56,Income,"Less than $15,000",INC,INCLESS15,43.235541343,-108.109830353,63.75
2017,NJ,New Jersey,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,27.9,24.1,32.1,1379.0,,,,"$15,000 - $24,999",,"(40.130570048, -74.273691288)",FV,FV1,Q019,34,Income,"$15,000 - $24,999",INC,INC1525,40.130570048,-74.273691288,384.741
2017,OH,Ohio,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,17.1,15.5,18.8,4207.0,65 or older,,,,,"(40.060210141, -82.404260056)",FV,FV1,Q019,39,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.060210141,-82.404260056,719.397
2017,MD,Maryland,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,25.9,15.8,39.5,106.0,,,,,Other,"(39.290580964, -76.609260111)",FV,FV1,Q018,24,Race/Ethnicity,Other,RACE,RACEOTH,39.290580964,-76.609260111,27.454
2017,AZ,Arizona,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,18.8,16.4,21.4,1723.0,,,,"$35,000 - $49,999",,"(34.86597028, -111.763811277)",FV,FV1,Q019,4,Income,"$35,000 - $49,999",INC,INC3550,34.86597028,-111.763811277,323.924
2017,AR,Arkansas,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,48.2,44.1,52.3,1694.0,,,Male,,,"(34.748650124, -92.274490743)",FV,FV1,Q018,5,Gender,Male,GEN,MALE,34.748650124,-92.274490743,816.508
2017,CA,California,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,29.1,27.2,31.1,4278.0,,,Female,,,"(37.638640123, -120.999999538)",FV,FV1,Q018,6,Gender,Female,GEN,FEMALE,37.638640123,-120.999999538,1244.8980000000001
2017,CA,California,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,39.0,32.5,45.9,356.0,,,,,Non-Hispanic Black,"(37.638640123, -120.999999538)",FV,FV1,Q018,6,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,37.638640123,-120.999999538,138.84
2017,VT,Vermont,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,,,,,,,,Hispanic,"(43.625381239, -72.517640791)",FV,FV1,Q019,50,Race/Ethnicity,Hispanic,RACE,RACEHIS,43.625381239,-72.517640791,
2017,MO,Missouri,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,17.2,8.6,31.4,77.0,,,,,Asian,"(38.635790776, -92.566300053)",FV,FV1,Q019,29,Race/Ethnicity,Asian,RACE,RACEASN,38.635790776,-92.566300053,13.244
2017,MN,Minnesota,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,32.0,27.4,36.9,614.0,,Less than high school,,,,"(46.355648736, -94.794200503)",FV,FV1,Q019,27,Education,Less than high school,EDU,EDUHS,46.355648736,-94.794200503,196.48000000000002
2017,CA,California,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,20.7,17.7,24.1,1490.0,55 - 64,,,,,"(37.638640123, -120.999999538)",FV,FV1,Q019,6,Age (years),55 - 64,AGEYR,AGEYR5564,37.638640123,-120.999999538,308.43
2017,RI,Rhode Island,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,9.2,7.4,11.3,1582.0,,,,"$75,000 or greater",,"(41.708280193, -71.522470314)",FV,FV1,Q019,44,Income,"$75,000 or greater",INC,INC75PLUS,41.708280193,-71.522470314,145.544
2017,NC,North Carolina,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,37.2,29.7,45.3,302.0,,,,,Hispanic,"(35.466220975, -79.159250463)",FV,FV1,Q019,37,Race/Ethnicity,Hispanic,RACE,RACEHIS,35.466220975,-79.159250463,112.34400000000002
2017,IL,Illinois,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,24.5,21.5,27.8,1176.0,,High school graduate,,,,"(40.485010283, -88.997710178)",FV,FV1,Q019,17,Education,High school graduate,EDU,EDUHSGRAD,40.485010283,-88.997710178,288.12
2017,WI,Wisconsin,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,30.5,25.1,36.5,531.0,,,,Data not reported,,"(44.393191174, -89.816370742)",FV,FV1,Q018,55,Income,Data not reported,INC,INCNR,44.393191174,-89.816370742,161.95499999999998
2017,KY,Kentucky,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,10.2,8.5,12.3,2421.0,,College graduate,,,,"(37.645970271, -84.774971048)",FV,FV1,Q019,21,Education,College graduate,EDU,EDUCOGRAD,37.645970271,-84.774971048,246.94199999999998
2017,ME,Maine,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,11.7,9.7,14.1,2280.0,,Some college or technical school,,,,"(45.254228894001, -68.985031336)",FV,FV1,Q019,23,Education,Some college or technical school,EDU,EDUCOTEC,45.254228894001,-68.985031336,266.76
2017,VI,Virgin Islands,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,18 - 24,,,,,"(18.335765, -64.896335)",FV,FV1,Q018,78,Age (years),18 - 24,AGEYR,AGEYR1824,18.335765,-64.896335,
2017,DC,District of Columbia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,14.4,11.6,17.7,754.0,55 - 64,,,,,"(38.890371385, -77.031961127)",FV,FV1,Q019,11,Age (years),55 - 64,AGEYR,AGEYR5564,38.890371385,-77.031961127,108.57600000000001
2017,OH,Ohio,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,Hawaiian/Pacific Islander,"(40.060210141, -82.404260056)",FV,FV1,Q018,39,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI,40.060210141,-82.404260056,
2017,RI,Rhode Island,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,19.9,15.0,25.8,459.0,35 - 44,,,,,"(41.708280193, -71.522470314)",FV,FV1,Q019,44,Age (years),35 - 44,AGEYR,AGEYR3544,41.708280193,-71.522470314,91.341
2017,OK,Oklahoma,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,26.9,20.4,34.7,248.0,,,,,Hispanic,"(35.472031356, -97.521070214)",FV,FV1,Q019,40,Race/Ethnicity,Hispanic,RACE,RACEHIS,35.472031356,-97.521070214,66.71199999999999
2017,KY,Kentucky,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,24.0,19.4,29.4,662.0,,Less than high school,,,,"(37.645970271, -84.774971048)",FV,FV1,Q019,21,Education,Less than high school,EDU,EDUHS,37.645970271,-84.774971048,158.88
2017,AL,Alabama,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,Asian,"(32.840571122, -86.631860762)",FV,FV1,Q018,1,Race/Ethnicity,Asian,RACE,RACEASN,32.840571122,-86.631860762,
2017,PR,Puerto Rico,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,50.2,46.3,54.1,1086.0,,High school graduate,,,,"(18.220833, -66.590149)",FV,FV1,Q019,72,Education,High school graduate,EDU,EDUHSGRAD,18.220833,-66.590149,545.172
2017,AZ,Arizona,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,36.7,33.8,39.7,1745.0,,,,"$35,000 - $49,999",,"(34.86597028, -111.763811277)",FV,FV1,Q018,4,Income,"$35,000 - $49,999",INC,INC3550,34.86597028,-111.763811277,640.4150000000001
2017,OK,Oklahoma,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,11.8,9.7,14.3,1267.0,,,,"$75,000 or greater",,"(35.472031356, -97.521070214)",FV,FV1,Q019,40,Income,"$75,000 or greater",INC,INC75PLUS,35.472031356,-97.521070214,149.506
